Date	Open	High	Low	Close	Volume	Unadjusted Close	Turnover
20050721	89.90857	89.95222	89.12263	89.30457	138504400	122.72	12408330000
20050722	89.421	89.91584	89.23907	89.90129	76861660	123.54	6882466000
20050725	89.80669	90.19965	89.39917	89.64659	79140740	123.19	7102702000
20050726	89.6757	89.89401	89.04987	89.75574	58879920	123.34	5273870000
20050727	89.87218	90.15598	89.54471	90.08321	62198820	123.79	5587137000
20050728	90.22875	90.70177	89.97406	90.65083	66576660	124.57	6018834000
20050729	90.5344	90.69449	89.87218	90.04683	85812070	123.74	7716191000
20050801	90.11233	90.26514	89.83579	89.98134	59007990	123.65	5314225000
20050802	90.14143	90.67266	90.04683	90.51984	63543450	124.39	5746648000
20050803	90.41796	90.77454	90.32336	90.75999	51115970	124.72	4628776000
20050804	90.40341	90.46162	89.92312	90.03227	70142920	123.72	6325142000
20050805	89.83579	90.22148	89.26818	89.421	73808390	122.88	6605224000
20050808	89.63203	89.80669	89.05714	89.25362	66272280	122.65	5924870000
20050809	89.55199	89.93767	89.41373	89.79213	65303900	123.39	5856026000
20050810	90.10505	90.59989	89.37733	89.74847	100473500	123.33	8986280000
20050811	89.7048	90.25787	89.5156	90.10505	80884290	123.82	7252162000
20050812	89.92312	90.01044	89.32639	89.55199	75324790	123.06	6740846000
20050815	89.66842	90.14143	89.38461	90.10505	49782880	123.82	4483337000
20050816	89.82851	89.88673	88.84611	88.93343	99304670	122.21	8871432000
20050817	88.91888	89.41373	88.80244	88.92616	85896450	122.2	7653956000
20050818	88.817	89.18813	88.66418	88.91888	73581650	122.19	6540897000
20050819	89.23907	89.37733	88.92616	89.12263	54906220	122.47	4894722000
20050822	89.20269	89.6757	88.69328	89.12263	96121130	122.47	8562123000
20050823	89.14447	89.22452	88.16206	88.95526	77975160	122.24	6929656000
20050824	88.73695	89.31184	88.11839	88.16206	108745700	121.15	9583522000
20050825	88.3076	88.54047	88.20572	88.48225	48978300	121.59	4332385000
20050826	88.40221	88.40948	87.82004	87.87826	85146980	120.76	7481903000
20050829	87.62356	88.62051	87.60172	88.55502	77205760	121.69	6836447000
20050830	88.23483	88.27122	87.609	88.08929	101936100	121.05	8977093000
20050831	88.19117	89.2609	87.8637	89.20269	141511100	122.58	12619020000
20050901	89.15175	89.61749	88.15479	89.13719	102489500	122.49	9135145000
20050902	89.39917	89.421	88.80972	88.9771	65488040	122.27	5826581000
20050906	89.2609	90.09049	89.25362	90.01772	78676680	123.7	7081986000
20050907	89.96678	90.33064	89.84307	90.17054	57377670	123.91	5173206000
20050908	89.98862	90.23603	89.73391	89.87218	53690070	123.5	4824985000
20050909	90.11233	90.77454	90.09049	90.67266	60617970	124.6	5485117000
20050912	90.5635	90.72359	90.43251	90.49073	45381540	124.35	4105738000
20050913	90.33064	90.54167	89.88673	89.98862	80360310	123.66	7225145000
20050914	90.05411	90.17782	89.52287	89.66114	75848080	123.21	6816290000
20050915	89.87946	89.98134	89.43555	89.61749	101215900	123.15	9075293000
20050916	90.09374	90.42991	89.79411	90.25452	103209100	123.5	9314876000
20050919	90.2326	90.29106	89.62602	89.95489	73034040	123.09	6567504000
20050920	90.04259	90.33491	89.06331	89.19485	116306000	122.05	10433460000
20050921	89.00484	89.06331	88.26672	88.36173	129306300	120.91	11422260000
20050922	88.39096	88.90984	88.01826	88.67597	115763200	121.34	10265020000
20050923	88.6029	89.07792	88.35442	88.74906	81237310	121.44	7209662000
20050926	89.17292	89.3337	88.48597	88.85137	96367320	121.58	8561104000
20050927	88.80752	89.151	88.44212	88.82945	90518440	121.55	8040630000
20050928	89.09254	89.24601	88.57366	88.91714	80333930	121.67	7132356000
20050929	88.82945	89.7868	88.48597	89.64064	91194680	122.66	8170101000
20050930	89.61141	89.91835	88.9683	89.91835	65444340	123.04	5884290000
20051003	89.85988	90.13759	89.48717	89.59679	69806640	122.6	6251962000
20051004	89.73565	89.91104	88.54443	88.58828	83168060	121.22	7367303000
20051005	88.61021	88.65405	87.38245	87.4263	145128800	119.63	12687010000
20051006	87.53592	87.88671	86.35932	87.11205	193103300	119.2	16800260000
20051007	87.47746	87.73324	87.0609	87.41168	103533800	119.61	9049860000
20051010	87.46284	87.48476	86.45433	86.67357	72082900	118.6	6247492000
20051011	86.95858	87.25091	86.46894	86.54933	103503200	118.43	8956837000
20051012	86.5201	87.0609	85.80392	85.86968	137546800	117.5	11809970000
20051013	85.84045	86.29355	85.41658	85.81853	135566900	117.43	11631780000
20051014	86.32278	86.82703	85.91353	86.72472	121310500	118.67	10520210000
20051017	86.79781	87.16321	86.56395	87.04628	94372260	119.11	8201740000
20051018	86.92204	86.93666	86.08893	86.10354	102644600	117.82	8838066000
20051019	85.91353	87.55054	85.59198	87.53592	159507500	119.78	13962010000
20051020	87.32398	87.55785	85.72353	85.99392	180742900	117.67	15528520000
20051021	86.44702	86.80511	85.87699	86.33009	132156300	118.13	11408940000
20051024	86.55664	87.76247	86.53472	87.66747	98993610	119.96	8678519000
20051025	87.49207	87.87209	86.92204	87.49207	105438100	119.72	9169893000
20051026	87.33861	88.09133	87.10474	87.23629	113152500	119.37	9871004000
20051027	87.11205	87.23629	86.18393	86.30817	93440420	118.1	8101143000
20051028	86.54933	87.66016	86.30817	87.55054	99834870	119.8	8664176000
20051031	87.90863	88.64674	87.7917	87.7917	109666500	120.13	9628804000
20051101	88.12057	88.35442	87.85748	88.05479	91674290	120.49	8072742000
20051102	87.82093	88.97561	87.7917	88.97561	102203500	121.75	9010997000
20051103	89.26793	89.64064	88.97561	89.35562	116174400	122.27	10380430000
20051104	89.45063	89.49448	88.82945	89.2387	80946810	122.11	7223539000
20051107	89.45063	89.61141	89.04869	89.3264	63991960	122.23	5716135000
20051108	89.12177	89.46525	89.00484	89.3264	57681120	122.23	5152337000
20051109	89.21677	89.85257	89.056	89.44332	78911110	122.39	7057840000
20051110	89.40678	90.51761	88.97561	90.13759	108296100	123.34	9749793000
20051111	90.1449	90.50299	89.47256	90.44453	47710350	123.76	4306305000
20051114	90.44453	90.63454	90.16682	90.39337	61702850	123.69	5577454000
20051115	90.31298	90.68569	89.7868	90.06451	95227070	123.24	8576580000
20051116	90.15952	90.29106	89.8745	90.24721	69969200	123.49	6314414000
20051117	90.43722	91.09495	89.99142	91.08764	76241180	124.64	6913355000
20051118	91.37996	91.90614	90.86109	91.44573	99119620	125.13	9045067000
20051121	91.46035	92.01576	91.33611	91.90614	68446640	125.76	6272073000
20051122	91.75998	92.46155	91.65766	92.30077	90913210	126.3	8391220000
20051123	92.26424	93.11197	92.235	92.83426	69587160	127.03	6453283000
20051125	92.79772	92.97311	92.67348	92.90734	20894740	127.13	1939928000
20051128	92.99504	93.00965	92.11076	92.24962	74579730	126.23	6879346000
20051129	92.55656	92.79772	92.1473	92.1473	70893660	126.09	6553886000
20051130	92.19846	92.46155	91.56266	91.65036	76730920	125.41	7062198000
20051201	92.09615	92.83426	92.06692	92.58579	89641870	126.69	8294166000
20051202	92.64425	92.8708	92.44694	92.70271	63935860	126.85	5923819000
20051205	92.54925	92.61502	92.21308	92.5054	81235120	126.58	7502827000
20051206	92.84888	93.35313	92.54194	92.68079	79286180	126.82	7347342000
20051207	92.65887	92.71734	91.84767	92.14	91441530	126.08	8424224000
20051208	92.24231	92.68079	91.70152	92.08154	85640670	126	7884702000
20051209	92.19846	92.65156	91.94999	92.3227	69436640	126.33	6410553000
20051212	92.6004	92.71003	92.0523	92.41039	66219780	126.45	6118903000
20051213	92.37386	93.3239	92.29346	93.03889	121305700	127.31	11283600000
20051214	92.95119	93.60892	92.91465	93.40429	88087560	127.81	8215698000
20051215	93.42622	93.54314	92.94389	93.1339	76495150	127.44	7123934000
20051216	93.50246	94.45754	92.8339	92.8339	62937780	126.36	5871664000
20051219	93.10574	93.20859	92.34167	92.35636	66450210	125.71	6165761000
20051220	92.46656	93.00288	92.18739	92.44453	63435550	125.83	5864081000
20051221	92.69431	93.12778	92.42249	92.59145	70508720	126.03	6543605000
20051222	92.79716	93.07635	92.62819	93.07635	43897470	126.69	4085486000
20051223	93.14981	93.20124	92.87798	93.12778	38081040	126.76	3543624000
20051227	93.24532	93.34083	92.11391	92.18004	60571710	125.47	5583352000
20051228	92.37106	92.56207	92.20208	92.38575	41874540	125.75	3868703000
20051229	92.36371	92.54003	91.87881	91.97433	44963380	125.19	4149592000
20051230	91.68781	91.87881	91.36455	91.47475	60769620	124.51	5558823000
20060103	91.97433	93.30409	91.38658	93.08369	99712680	126.7	9197987000
20060104	93.20124	93.66409	93.08369	93.5245	70642660	127.3	6596891000
20060105	93.4143	93.73755	93.21593	93.58327	64392160	127.38	6017609000
20060106	94.05347	94.46489	93.56858	94.36203	85596560	128.44	8052426000
20060109	94.34734	94.81753	94.31796	94.60448	59246920	128.77	5601593000
20060110	94.32529	94.75875	94.22978	94.69998	61197980	128.9	5782251000
20060111	94.78815	95.09671	94.57508	95.0012	67511080	129.31	6401224000
20060112	94.83223	94.97916	94.36203	94.62652	55138720	128.8	5219833000
20060113	94.45754	94.69998	94.18571	94.53835	61056280	128.68	5767109000
20060117	94.18571	94.34734	93.89919	94.28122	70869970	128.33	6671679000
20060118	93.73021	94.69998	93.42165	93.90653	102177600	127.82	9581013000
20060119	94.13428	94.60448	93.89919	94.26652	110974300	128.31	10457470000
20060120	94.24448	94.26652	92.54738	92.54738	156473700	125.97	14600100000
20060123	92.7237	93.17185	92.66492	92.87798	91220110	126.42	8471636000
20060124	93.03226	93.4143	92.87798	92.9735	72152430	126.55	6719406000
20060125	93.33348	93.43634	92.45187	93.05431	119437000	126.66	11098360000
20060126	93.48776	93.79633	93.12778	93.56858	97041170	127.36	9071813000
20060127	93.78899	94.52367	93.6347	94.43549	89523860	128.54	8434341000
20060130	94.36203	94.63386	94.29591	94.36203	45883510	128.44	4333406000
20060131	94.27387	94.43549	93.66409	93.67143	99277520	127.5	9340998000
20060201	93.90653	94.35468	93.83306	94.32529	86515460	128.39	8138109000
20060202	94.11224	94.14162	93.15716	93.23063	113828000	126.9	10647610000
20060203	92.99553	94.32529	92.67227	92.76778	117113100	126.27	10891240000
20060206	92.89268	93.15716	92.69431	93.01022	61948100	126.6	5757351000
20060207	92.84859	93.05431	92.12861	92.18739	96924240	125.48	8964445000
20060208	92.45921	94.11224	92.27554	93.02492	80881980	126.62	7493389000
20060209	93.24532	93.7449	92.84125	92.87064	84422440	126.41	7879198000
20060210	92.88533	93.3996	92.16534	93.03961	87805420	126.64	8147855000
20060213	93.01022	93.14981	92.53268	92.87064	71199500	126.41	6611616000
20060214	92.90737	94.06081	92.7237	93.8551	123815300	127.75	11578580000
20060215	93.80367	94.27387	93.48042	94.18571	116338500	128.2	10926910000
20060216	94.28856	94.92773	94.17101	94.891	83053940	129.16	7846566000
20060217	94.81019	94.891	94.46489	94.63386	54911960	128.81	5199233000
20060221	94.85426	95.06731	94.25182	94.39877	63233560	128.49	5977412000
20060222	94.60448	95.25098	94.51631	94.97182	57612590	129.27	5469896000
20060223	94.97182	95.24364	94.24448	94.83223	59105080	129.08	5610460000
20060224	94.85426	95.12609	94.59712	95.07467	50059220	129.41	4749231000
20060227	95.06731	95.53751	94.97916	95.1114	48808600	129.46	4651900000
20060228	94.92039	95.44201	94.13428	94.20775	101261800	128.23	9564076000
20060301	94.47958	95.13345	94.40611	95.04528	66208060	129.37	6275545000
20060302	94.69998	95.08202	94.48692	95.03793	82542700	129.36	7820934000
20060303	94.53101	95.55956	94.51631	94.59712	99911130	128.76	9491508000
20060306	94.8763	94.90569	93.92857	94.16367	78236190	128.17	7385331000
20060307	93.93592	94.08286	93.59797	94.01673	84092360	127.97	7894128000
20060308	93.81837	94.36203	93.43634	94.2151	90777740	128.24	8527697000
20060309	94.24448	94.53835	93.58327	93.58327	76650740	127.38	7213941000
20060310	93.82571	94.6559	93.62736	94.47223	82336490	128.59	7758260000
20060313	94.6559	94.891	94.42815	94.64856	61903450	128.83	5860173000
20060314	94.5604	95.6771	94.48692	95.64037	95112830	130.18	9051625000
20060315	95.61832	96.13995	95.39793	96.06648	72683420	130.76	6960739000
20060316	96.25015	96.5881	96.12525	96.26485	89190650	131.03	8591251000
20060317	96.38984	96.55211	96.16856	96.34558	64108820	130.62	6174446000
20060320	96.36034	96.55211	96.04317	96.1907	61738570	130.41	5942729000
20060321	96.16119	96.61851	95.48259	95.58585	118089000	129.59	11335750000
20060322	95.52685	96.26445	95.48259	96.16856	69964140	130.38	6709593000
20060323	96.08005	96.17594	95.63749	95.96941	63318960	130.11	6073353000
20060324	95.88091	96.30872	95.6965	96.04317	58580640	130.21	5624045000
20060327	95.9104	96.0948	95.6965	95.90303	44092880	130.02	4229187000
20060328	95.83664	96.27921	95.18755	95.31294	111279400	129.22	10648280000
20060329	95.45309	96.25707	95.36457	95.9104	83386020	130.03	7995366000
20060330	95.96941	96.61112	95.55636	95.74075	95677180	129.8	9187666000
20060331	95.90303	96.0653	95.42358	95.76289	85311030	129.83	8164760000
20060403	95.93991	96.52998	95.5121	95.68912	83547340	129.73	8031282000
20060404	95.68912	96.42672	95.41621	96.30133	74307410	130.56	7132202000
20060405	96.33821	96.83241	96.16856	96.63325	68610430	131.01	6620940000
20060406	96.51524	96.78078	96.02842	96.52998	78506010	130.87	7569047000
20060407	96.67013	96.92091	95.40884	95.54897	108704800	129.54	10438140000
20060410	95.6965	95.94728	95.34245	95.6965	56258650	129.74	5381080000
20060411	95.77764	95.93253	94.59747	94.88513	98697380	128.64	9384622000
20060412	94.98103	95.24657	94.86301	95.06216	58342700	128.88	5544277000
20060413	94.84825	95.33508	94.64172	94.93678	69213200	128.71	6576120000
20060417	95.02528	95.37933	94.42783	94.89989	86995010	128.66	8253070000
20060418	95.09904	96.58162	95.09904	96.40459	125449500	130.7	12033750000
20060419	96.44147	96.67751	96.0653	96.589	118314500	130.95	11406620000
20060420	96.62588	97.26022	96.33084	96.72177	116601500	131.13	11288800000
20060421	97.13483	97.20858	96.34558	96.73651	98078080	131.15	9492051000
20060424	96.54474	96.67751	96.16856	96.55949	71239500	130.91	6868824000
20060425	96.65537	96.71439	95.82926	96.16119	114370300	130.37	10996560000
20060426	96.25707	96.72914	96.10956	96.18331	91190620	130.4	8795292000
20060427	95.81451	97.09057	95.58585	96.648	168761200	131.03	16287590000
20060428	96.47098	97.17908	96.41198	96.97255	75724300	131.47	7327717000
20060501	96.97255	97.21596	96.12431	96.18331	88110240	130.4	8525005000
20060502	96.63325	96.96518	96.4341	96.90617	66517570	131.38	6433442000
20060503	96.73651	96.86192	96.22019	96.54474	82458140	130.89	7956770000
20060504	96.68488	97.08318	96.60375	96.89141	58190450	131.36	5637507000
20060505	97.40036	97.95356	97.25285	97.74703	84853610	132.52	8280225000
20060508	97.73965	97.93143	97.62901	97.62901	40694980	132.36	3979026000
20060509	97.67327	97.93143	97.59213	97.82079	40487950	132.62	3957727000
20060510	97.6659	97.91668	97.28234	97.76917	87280390	132.55	8522772000
20060511	97.73965	97.76917	96.27183	96.589	109309500	130.95	10584640000
20060512	96.15381	96.41935	95.29082	95.3277	124357700	129.24	11925140000
20060515	94.99577	95.6965	94.86301	95.51947	113922300	129.5	10858880000
20060516	95.71124	95.88828	95.15804	95.37933	84242710	129.31	8050604000
20060517	94.90726	95.22443	93.50582	93.56483	196297600	126.85	18518610000
20060518	93.93363	94.22867	93.019	93.09277	119178500	126.21	11185000000
20060519	93.57958	94.0369	92.79035	93.74923	168531800	127.1	15751870000
20060522	93.14439	93.80086	92.56907	93.03375	150288100	126.13	14003990000
20060523	93.80824	94.14016	92.32565	92.32565	124737300	125.17	11678590000
20060524	92.70184	93.59433	92.02324	93.06326	228314100	126.17	21184420000
20060525	93.61646	94.21392	93.25504	94.21392	107073900	127.73	10033120000
20060526	94.42044	94.69336	94.05165	94.69336	85397940	128.38	8065012000
20060530	94.39095	94.41307	92.97475	93.01163	98182890	126.1	9198652000
20060531	93.39518	94.05165	93.08539	94.05165	117849700	127.51	11034620000
20060601	93.95576	95.10641	93.87462	94.95152	99947780	128.73	9444856000
20060602	95.33508	95.46783	94.64911	95.18017	124244100	129.04	11815550000
20060605	95.04004	95.04741	93.50582	93.76398	116736500	127.12	11012040000
20060606	93.83037	93.95576	92.76084	93.53532	176922800	126.81	16507940000
20060607	93.60909	94.15491	92.78297	92.8346	147233000	125.86	13779420000
20060608	92.62807	93.30667	91.36678	92.75346	277869600	125.75	25654060000
20060609	93.20341	93.64597	92.41417	92.45843	128758000	125.35	11969310000
20060612	92.84935	92.88624	91.3299	91.45528	129901900	123.99	11973160000
20060613	91.27088	92.08224	90.39314	90.39314	251746600	122.55	22964650000
20060614	90.60704	91.18975	90.23824	91.09386	221754200	123.5	20123260000
20060615	91.42578	93.20341	91.3594	93.02638	181747000	126.12	16760440000
20060616	92.82299	93.02302	92.20807	92.34884	127220900	124.65	11780970000
20060619	92.90449	92.96376	91.53389	91.62279	129314200	123.67	11911960000
20060620	91.87469	92.46737	91.65984	91.93395	88403000	124.09	8132182000
20060621	91.86727	93.12674	91.83764	92.61555	101244100	125.01	9384779000
20060622	92.57109	92.65259	91.89691	92.20807	100647300	124.46	9286097000
20060623	92.11176	92.8304	91.8895	92.19325	73032180	124.44	6743691000
20060626	92.26734	92.65259	92.05249	92.60073	51155870	124.99	4723704000
20060627	92.61555	92.82299	91.69687	91.8006	94187460	123.91	8684306000
20060628	92.00804	92.43774	91.60797	92.42292	84182800	124.75	7746542000
20060629	92.75631	94.34917	92.73409	94.2899	149331900	127.27	13966200000
20060630	94.48994	94.57884	94.06023	94.29731	73195240	127.28	6901198000
20060703	94.40844	94.83814	94.31953	94.68256	32278480	127.8	3053158000
20060705	94.30472	94.42326	93.73425	94.14173	94016300	127.07	8841420000
20060706	94.23804	94.7196	94.14914	94.41586	67624050	127.44	6386470000
20060707	94.23064	94.50475	93.56386	93.80093	110177300	126.61	10364240000
20060710	94.04542	94.40844	93.65276	93.97874	82287720	126.85	7738954000
20060711	93.80093	94.39362	93.30455	94.39362	99398390	127.41	9319258000
20060712	94.201	94.38622	93.14156	93.38605	111439000	126.05	10436870000
20060713	92.94153	93.11193	91.86727	91.86727	138224500	124	12788960000
20060714	91.96358	92.0599	91.00047	91.51166	139354000	123.52	12760170000
20060717	91.51166	91.94136	91.23754	91.3783	109546300	123.34	10036240000
20060718	91.65242	91.90432	90.67448	91.84505	165713000	123.97	15133540000
20060719	92.00063	93.54163	91.65984	93.11934	180282900	125.69	16752430000
20060720	93.43791	93.57127	92.35625	92.48219	151525300	124.83	14109140000
20060721	92.71927	92.7489	91.73392	91.83023	137083000	123.95	12626430000
20060724	92.19325	93.58608	92.19325	93.50459	125372400	126.21	11665670000
20060725	93.33419	94.31213	93.14156	93.83797	128877300	126.66	12067180000
20060726	93.78611	94.42326	93.48236	93.96392	114090700	126.83	10721950000
20060727	94.3714	94.60107	93.49718	93.87502	117777300	126.71	11079480000
20060728	94.11951	94.93446	93.98615	94.81592	110866300	127.98	10482200000
20060731	94.57884	94.8011	94.42326	94.7196	66939440	127.85	6332761000
20060801	94.34176	94.3714	93.79353	94.25286	88039780	127.22	8279320000
20060802	94.51957	95.17154	94.49734	94.89001	87426040	128.08	8289587000
20060803	94.34176	95.23821	94.201	95.1419	85972190	128.42	8148291000
20060804	95.63087	95.89017	94.44549	94.9789	129975300	128.2	12365050000
20060807	94.75665	94.89001	94.38622	94.79369	61249070	127.95	5797172000
20060808	94.89741	95.17154	94.05283	94.39362	122696200	127.41	11612020000
20060809	94.96408	95.27526	93.80093	94.07506	106511400	126.98	10078630000
20060810	93.77871	94.4603	93.55644	94.36399	93569400	127.37	8797201000
20060811	94.21581	94.23804	93.63794	94.09728	64090210	127.01	6021070000
20060814	94.55661	94.94927	94.0306	94.17136	78069540	127.11	7377810000
20060815	95.01595	95.47528	94.75665	95.29749	91977610	128.63	8749200000
20060816	95.80869	96.23097	95.60123	96.0902	96829500	129.7	9286073000
20060817	96.0013	96.58658	95.93462	96.33469	95824190	130.03	9225813000
20060818	96.45323	96.82366	96.00871	96.82366	78676130	130.69	7579841000
20060821	96.44582	96.51991	96.16429	96.40878	56870810	130.13	5479702000
20060822	96.30506	96.69772	96.07538	96.40137	82120080	130.12	7917084000
20060823	96.44582	96.63845	95.71236	96.13465	89884240	129.76	8642816000
20060824	96.30506	96.38656	95.86794	96.05315	78263910	129.65	7524158000
20060825	96.04575	96.49768	95.97908	96.1717	56361140	129.81	5423303000
20060828	96.05315	96.91998	96.04575	96.63103	71108090	130.43	6869588000
20060829	96.67549	96.92738	96.1717	96.74216	83440020	130.58	8053493000
20060830	96.95702	97.08296	96.71994	96.80144	67559130	130.66	6546873000
20060831	96.94221	97.04592	96.74216	96.78662	50630400	130.64	4905541000
20060901	97.15705	97.48303	96.93479	97.36449	65861520	131.42	6405581000
20060905	97.43117	97.68307	97.2015	97.54971	70658340	131.67	6886791000
20060906	97.13483	97.17187	96.55695	96.6903	72611870	130.51	7035469000
20060907	96.35692	96.73476	95.83091	96.24579	116444100	129.91	11217290000
20060908	96.37173	96.65327	96.18652	96.51991	60869780	130.28	5870208000
20060911	96.20874	96.82366	95.92721	96.61622	92454890	130.41	8910792000
20060912	96.72735	97.67565	96.58658	97.56453	94316220	131.69	9168915000
20060913	97.52748	98.12758	97.43858	97.95718	84898580	132.22	8302557000
20060914	97.76456	97.97201	97.60898	97.96459	78024190	132.23	7629215000
20060915	98.45522	98.51476	97.98642	98.19479	103078200	131.96	10125750000
20060918	98.06828	98.51476	97.9641	98.32873	86214100	132.14	8470028000
20060919	98.31384	98.32129	97.53252	98.08316	123754800	131.81	12114780000
20060920	98.41058	98.79753	98.2692	98.60405	101063700	132.51	9960783000
20060921	98.67847	98.78264	97.79295	98.12781	119512800	131.87	11743540000
20060922	97.97899	97.98642	97.48042	97.83016	88650110	131.47	8659079000
20060925	98.02363	98.85706	97.51763	98.58173	124037000	132.48	12180000000
20060926	98.59661	99.41515	98.52219	99.40027	99395490	133.58	9841196000
20060927	99.3333	99.69048	99.16959	99.51933	110777300	133.74	11014880000
20060928	99.51933	99.70536	99.17702	99.48212	78746810	133.69	7830999000
20060929	99.56397	99.66815	99.32585	99.40027	64460380	133.58	6413964000
20061002	99.3705	99.5863	98.93147	99.02821	69460610	133.08	6894515000
20061003	98.88682	99.61606	98.70823	99.23656	98247020	133.36	9742751000
20061004	99.13982	100.4569	99.02821	100.3974	108705500	134.92	10855420000
20061005	100.3974	100.762	100.2709	100.5909	81311430	135.18	8171340000
20061006	100.4197	100.5313	100.0104	100.4644	87328830	135.01	8755344000
20061009	100.3453	100.6802	100.189	100.5239	55335840	135.09	5557892000
20061010	100.5313	100.7918	100.3379	100.6578	75798660	135.27	7621747000
20061011	100.3379	100.7769	99.93604	100.5388	139857900	135.11	14043280000
20061012	100.7918	101.4913	100.7546	101.4094	79500850	136.28	8039021000
20061013	101.3201	101.7294	101.2308	101.6699	72493160	136.63	7354477000
20061016	101.588	101.9824	101.5136	101.8261	56808980	136.84	5779932000
20061017	101.5508	101.7219	100.9555	101.5061	121620100	136.41	12322640000
20061018	101.9749	102.2205	101.2755	101.6401	116712300	136.59	11869600000
20061019	101.4913	101.8559	101.3722	101.8038	86091940	136.81	8747183000
20061020	101.8261	101.908	101.4466	101.8261	64632260	136.84	6571815000
20061023	101.6178	102.5405	101.4913	102.2949	88990250	137.47	9097859000
20061024	102.1535	102.6372	102.1089	102.6	71540230	137.88	7320059000
20061025	102.4958	102.9944	102.3247	102.9497	104962700	138.35	10778150000
20061026	103.1804	103.4334	102.6744	103.2697	89828540	138.78	9261382000
20061027	103.1432	103.2474	102.414	102.6223	107828600	137.91	11087840000
20061030	102.4363	102.8381	102.2428	102.5479	66813740	137.81	6852997000
20061031	102.7414	102.8828	102.1312	102.533	95782380	137.79	9816311000
20061101	102.853	102.92	101.7368	101.841	111547900	136.86	11411860000
20061102	101.5806	101.9526	101.4689	101.7815	81563000	136.78	8295916000
20061103	102.1461	102.2354	100.9183	101.6029	95879540	136.54	9757262000
20061106	101.9154	102.8977	101.908	102.7488	85070740	138.08	8717827000
20061107	102.8381	103.4185	102.6893	103.1432	85091710	138.61	8774740000
20061108	102.6893	103.4706	101.841	103.3665	117611600	138.91	12111000000
20061109	103.4409	103.5376	102.6149	102.8232	128898000	138.18	13284420000
